user_id,cohort_recharge_date,recharge_amount_on_day,recharge_count_on_day,wallet_balance_after_recharge,days_since_signup,lifetime_recharge_count_before_day,lifetime_recharge_amount_before_day,sessions_last_7d,app_launches_last_7d,notifications_clicked_last_7d,consultations_last_7d,paid_consult_minutes_last_7d,avg_consult_rating,has_used_coupon_on_day,has_done_promo_recharge,is_free_consultation_taken,has_push_enabled,country,device_type,acquisition_source,campaign_group,city_tier
100000,2026-01-27,803.0,1,194.0,193,1,385.0,4,8,2,0,0.0,4.1,0,1,0,1,India,Android,Organic,Remarketing,Tier 3
100001,2026-01-27,425.0,1,655.0,376,2,1355.0,1,14,1,0,0.0,4.1,1,0,1,1,UAE,Android,CRM,Brand,Tier 1
100002,2026-01-27,1271.0,1,756.0,174,3,2129.0,6,11,3,0,0.0,3.1,1,0,0,1,India,Android,Meta Ads,Performance,Tier 1
100003,2026-01-27,374.0,1,582.0,216,2,884.0,3,10,4,2,23.7,4.2,1,0,0,0,India,Android,Meta Ads,Influencer,Tier 3
100004,2026-01-27,68.0,4,469.0,114,1,459.0,9,2,1,6,31.2,4.4,1,1,1,1,India,Android,Organic,Remarketing,Tier 1
100005,2026-01-27,288.0,1,23.0,282,0,0.0,5,9,1,2,25.5,3.2,0,0,1,1,India,iOS,CRM,Influencer,Tier 2
100006,2026-01-27,1022.0,1,174.0,463,1,179.0,4,7,0,3,27.8,3.6,0,1,1,1,India,Android,Google Ads,Influencer,Tier 1
100007,2026-01-27,637.0,2,138.0,29,1,257.0,5,7,1,1,6.8,4.2,0,0,0,0,India,Android,CRM,Performance,Tier 1
100008,2026-01-27,330.0,1,5.0,423,2,129.0,1,2,0,1,5.3,4.1,0,0,1,1,India,Android,Meta Ads,Unmapped,Tier 2
100009,2026-01-27,796.0,1,312.0,455,2,494.0,2,10,1,2,29.3,4.0,0,0,0,1,Canada,Android,Meta Ads,Influencer,Tier 3
100010,2026-01-27,637.0,1,385.0,372,2,510.0,2,8,0,1,14.7,4.3,0,1,1,1,India,Android,Organic,Remarketing,Tier 2
100011,2026-01-27,299.0,1,31.0,287,2,1958.0,6,7,0,2,15.4,5.0,1,1,1,1,Canada,Android,Google Ads,Brand,Tier 2
100012,2026-01-27,528.0,2,64.0,388,2,1141.0,1,5,0,0,0.0,5.0,0,0,1,1,India,Android,Referral,Performance,Tier 1
