user_id,cohort_recharge_date,recharge_amount_on_day,recharge_count_on_day,wallet_balance_after_recharge,days_since_signup,lifetime_recharge_count_before_day,lifetime_recharge_amount_before_day,sessions_last_7d,app_launches_last_7d,notifications_clicked_last_7d,consultations_last_7d,paid_consult_minutes_last_7d,avg_consult_rating,has_used_coupon_on_day,has_done_promo_recharge,is_free_consultation_taken,has_push_enabled,country,device_type,acquisition_source,campaign_group,city_tier,future_recharged
100000,2026-01-27,579.0,1,357.0,345,5,1542.0,3,8,0,2,52.9,3.1,0,1,1,1,USA,Android,Referral,Brand,Tier 1,1
100001,2026-01-27,773.0,1,229.0,375,1,643.0,10,5,0,0,0.0,4.8,0,0,1,1,Canada,Android,Referral,Brand,Tier 1,1
100002,2026-01-27,512.0,2,117.0,407,2,1243.0,7,4,0,1,1.8,4.9,0,1,0,1,India,Android,Referral,Brand,Tier 2,1
100003,2026-01-27,461.0,2,46.0,454,1,124.0,6,14,1,1,18.7,3.0,1,0,0,0,UK,Android,Referral,Brand,Tier 3,1
100004,2026-01-27,836.0,1,557.0,125,1,633.0,8,10,1,1,20.3,3.3,0,0,0,1,UAE,Android,Google Ads,Remarketing,Tier 2,1
100005,2026-01-27,490.0,1,233.0,456,2,2001.0,7,2,0,1,0.5,5.0,0,0,1,1,USA,Android,Organic,Influencer,Tier 2,1
100006,2026-01-27,645.0,1,641.0,318,0,0.0,6,8,2,1,5.4,3.4,0,1,1,0,India,iOS,Organic,Remarketing,Tier 2,1
100007,2026-01-27,604.0,2,259.0,17,3,396.0,5,5,0,3,12.6,4.7,0,0,1,1,Canada,Android,Google Ads,Brand,Tier 2,1
100008,2026-01-27,836.0,2,583.0,495,1,196.0,5,3,4,3,25.9,3.1,0,0,1,0,India,Android,Google Ads,Brand,Tier 3,1
100009,2026-01-27,406.0,1,82.0,416,1,199.0,5,5,0,1,1.1,3.8,0,0,1,1,India,Android,Google Ads,Performance,Tier 3,0
100010,2026-01-27,1021.0,1,88.0,481,3,1317.0,5,3,1,0,0.0,5.0,0,0,1,1,India,iOS,Organic,Unmapped,Tier 1,1
100011,2026-01-27,335.0,1,145.0,416,2,330.0,4,3,1,3,52.6,2.7,0,1,0,1,India,Android,Google Ads,Remarketing,Tier 2,1
100012,2026-01-27,673.0,2,76.0,186,4,759.0,2,3,1,3,2.7,3.1,1,0,1,1,India,Android,Organic,Performance,Tier 1,1
